DATE,TMIN,TAVG,TMAX,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,TSUN
2023-11-06,24 °C,28.6 °C,34 °C,2 mm,—,,9 km/h,—,1010.6 hPa,—
2023-11-07,26 °C,28.2 °C,32 °C,1.9 mm,—,,6.7 km/h,—,1010.5 hPa,—
2023-11-08,25 °C,29.2 °C,33 °C,3.2 mm,—,,8.1 km/h,—,1009.9 hPa,—
2023-11-09,26 °C,29.5 °C,34 °C,6.3 mm,—,,9.7 km/h,—,1010.4 hPa,—
2023-11-10,26 °C,28.7 °C,32 °C,10.9 mm,—,,7.6 km/h,—,1011.6 hPa,—
2023-11-11,26 °C,29.6 °C,34 °C,1 mm,—,,11.5 km/h,—,1011.6 hPa,—
2023-11-12,26 °C,29.2 °C,34 °C,2.7 mm,—,,7.8 km/h,—,1011.9 hPa,—
2023-11-13,26 °C,29.6 °C,35 °C,3 mm,—,,6.5 km/h,—,1011.2 hPa,—
2023-11-14,26 °C,28.9 °C,34 °C,5.4 mm,—,,6.2 km/h,—,1011.8 hPa,—
2023-11-15,25 °C,27.9 °C,31 °C,3.7 mm,—,,8 km/h,—,1012.3 hPa,—
2023-11-16,25 °C,27.2 °C,30 °C,0.5 mm,—,,5.9 km/h,—,1013.2 hPa,—
2023-11-17,26 °C,28.2 °C,32 °C,5 mm,—,,9 km/h,—,1013.1 hPa,—
2023-11-18,23 °C,27.7 °C,33 °C,0 mm,—,,11.7 km/h,—,1012.5 hPa,—
2023-11-19,23 °C,27.6 °C,34 °C,0 mm,—,,7.6 km/h,—,1012 hPa,—
2023-11-20,24 °C,28 °C,32 °C,0 mm,—,,7.7 km/h,—,1011.3 hPa,—
2023-11-21,26 °C,29 °C,33 °C,0 mm,—,,6.2 km/h,—,1010.1 hPa,—
2023-11-22,24 °C,28.1 °C,32 °C,0 mm,—,,5.7 km/h,—,1009.2 hPa,—
2023-11-23,26 °C,27.5 °C,31 °C,0.3 mm,—,,6.6 km/h,—,1009.2 hPa,—
2023-11-24,25 °C,26.8 °C,29 °C,0.7 mm,—,,6.4 km/h,—,1010 hPa,—
2023-11-25,24 °C,28.1 °C,33 °C,7 mm,—,,6.7 km/h,—,1009.8 hPa,—
2023-11-26,25 °C,28.3 °C,33 °C,0.4 mm,—,,5.1 km/h,—,1010.7 hPa,—
2023-11-27,25 °C,28.5 °C,33 °C,0 mm,—,,10.8 km/h,—,1010 hPa,—
2023-11-28,24 °C,28.1 °C,33 °C,0.1 mm,—,,7.9 km/h,—,1010 hPa,—
2023-11-29,24 °C,28.8 °C,33 °C,2.5 mm,—,,7.2 km/h,—,1009.7 hPa,—
2023-11-30,26 °C,29.7 °C,33 °C,3.3 mm,—,,6.7 km/h,—,1010.4 hPa,—
2023-12-01,26 °C,29.6 °C,35 °C,0 mm,—,,7 km/h,—,1009.8 hPa,—
2023-12-02,25 °C,28.2 °C,32 °C,3.8 mm,—,,7.5 km/h,—,1010.5 hPa,—
2023-12-03,24 °C,27.4 °C,31 °C,5.4 mm,—,,6.3 km/h,—,1010.8 hPa,—
2023-12-04,25 °C,29 °C,34 °C,0.7 mm,—,,7 km/h,—,1010.6 hPa,—
2023-12-05,26 °C,29.5 °C,34 °C,0 mm,—,,7 km/h,—,1010.2 hPa,—
2023-12-06,26 °C,28.9 °C,32 °C,0.1 mm,—,,7.5 km/h,—,1010.9 hPa,—
2023-12-07,25 °C,28.7 °C,32 °C,0.2 mm,—,,6.6 km/h,—,1010.9 hPa,—
2023-12-08,26 °C,27.8 °C,32 °C,0 mm,—,,5.2 km/h,—,1011.3 hPa,—
2023-12-09,25 °C,28.5 °C,33 °C,0 mm,—,,5.7 km/h,—,1010.4 hPa,—
2023-12-10,26 °C,28.8 °C,32 °C,0 mm,—,,8.1 km/h,—,1009.7 hPa,—
2023-12-11,24 °C,29.3 °C,35 °C,0 mm,—,,10.9 km/h,—,1010.1 hPa,—
2023-12-12,25 °C,29.7 °C,35 °C,0 mm,—,,9.7 km/h,—,1010 hPa,—
2023-12-13,25 °C,29.5 °C,34 °C,4.9 mm,—,,7.1 km/h,—,1011 hPa,—
2023-12-14,26 °C,30.6 °C,35 °C,0 mm,—,,13 km/h,—,1011.6 hPa,—
2023-12-15,25 °C,29.8 °C,35 °C,0 mm,—,,8.7 km/h,—,1011.1 hPa,—
2023-12-16,26 °C,29.2 °C,33 °C,0 mm,—,,7.1 km/h,—,1011 hPa,—
2023-12-17,25 °C,29.4 °C,35 °C,0 mm,—,,8.6 km/h,—,1011.2 hPa,—
2023-12-18,24 °C,29 °C,34 °C,5.7 mm,—,,7.2 km/h,—,1011.8 hPa,—
2023-12-19,25 °C,29.2 °C,34 °C,0 mm,—,,9.3 km/h,—,1011.3 hPa,—
2023-12-20,25 °C,28.9 °C,34 °C,0.7 mm,—,,11.5 km/h,—,1011 hPa,—
2023-12-21,24 °C,29.1 °C,35 °C,0 mm,—,,12.4 km/h,—,1010.7 hPa,—
2023-12-22,24 °C,28.1 °C,35 °C,0.8 mm,—,,13.6 km/h,—,1012.5 hPa,—
2023-12-23,24 °C,27.6 °C,31 °C,2.8 mm,—,,11.2 km/h,—,1013.2 hPa,—
2023-12-24,24 °C,26.9 °C,30 °C,0.1 mm,—,,6.9 km/h,—,1014.9 hPa,—
2023-12-25,24 °C,28.1 °C,33 °C,0 mm,—,,9.8 km/h,—,1013.9 hPa,—
2023-12-26,23 °C,28 °C,33 °C,0 mm,—,,7.1 km/h,—,1014.2 hPa,—
2023-12-27,24 °C,28.2 °C,33 °C,0 mm,—,,6.1 km/h,—,1013.9 hPa,—
2023-12-28,25 °C,28.3 °C,32 °C,0 mm,—,,6.1 km/h,—,1013 hPa,—
2023-12-29,26 °C,29.2 °C,34 °C,0.4 mm,—,,5.6 km/h,—,1011.7 hPa,—
